id,nombre,apellido,departamento,salario,fecha_contratacion,email,activo
1,Elena,Martínez,RRHH,29761,2017-08-20,elena.martínez1@empresa.com,True
2,María,Fernández,Logística,49873,2021-06-04,maría.fernández2@empresa.com,False
3,Elena,Fernández,RRHH,62033,2016-05-11,elena.fernández3@empresa.com,True
4,Luis,Pérez,IT,64492,2018-06-17,luis.pérez4@empresa.com,False
5,Ana,Fernández,RRHH,47430,2023-08-02,ana.fernández5@empresa.com,True
6,Juan,Martínez,Producción,43478,2020-08-29,juan.martínez6@empresa.com,False
7,Laura,Pérez,RRHH,39677,2017-09-22,laura.pérez7@empresa.com,True
8,Ana,Morales,Marketing,25181,2023-12-07,ana.morales8@empresa.com,False
9,Laura,Sánchez,RRHH,54653,2020-10-20,laura.sánchez9@empresa.com,True
10,Luis,Gómez,Producción,60947,2016-10-03,luis.gómez10@empresa.com,True
11,Ana,Gómez,Logística,40526,2018-01-25,ana.gómez11@empresa.com,False
12,Luis,Pérez,IT,42006,2021-09-27,luis.pérez12@empresa.com,True
13,Laura,Fernández,Finanzas,27738,2024-08-07,laura.fernández13@empresa.com,True
14,Sara,Pérez,Finanzas,24901,2016-01-21,sara.pérez14@empresa.com,True
15,Jorge,Díaz,Marketing,64705,2021-10-30,jorge.díaz15@empresa.com,False
16,Juan,García,IT,36350,2023-03-10,juan.garcía16@empresa.com,False
17,María,García,Ventas,28140,2016-06-18,maría.garcía17@empresa.com,True
18,Laura,Martínez,Finanzas,34694,2022-08-08,laura.martínez18@empresa.com,False
19,María,Gómez,RRHH,32968,2024-03-30,maría.gómez19@empresa.com,True
20,María,Gómez,Marketing,52123,2019-06-01,maría.gómez20@empresa.com,True
21,Carlos,Morales,Finanzas,52560,2019-07-22,carlos.morales21@empresa.com,False
22,Elena,Ruiz,Finanzas,47998,2017-12-30,elena.ruiz22@empresa.com,False
23,Laura,Fernández,Ventas,44486,2021-06-16,laura.fernández23@empresa.com,True
24,Pablo,López,Producción,33632,2021-01-09,pablo.lópez24@empresa.com,True
25,Sara,Martínez,IT,59356,2017-05-17,sara.martínez25@empresa.com,False
26,Juan,Sánchez,Finanzas,31984,2023-10-30,juan.sánchez26@empresa.com,True
27,Juan,García,Ventas,39180,2021-06-08,juan.garcía27@empresa.com,False
28,Ana,Ruiz,Finanzas,25936,2019-06-20,ana.ruiz28@empresa.com,True
29,Jorge,García,Ventas,42154,2017-02-25,jorge.garcía29@empresa.com,True
30,María,Pérez,Logística,27637,2018-03-30,maría.pérez30@empresa.com,False
31,Jorge,Morales,Finanzas,41238,2024-01-10,jorge.morales31@empresa.com,False
32,Pablo,Sánchez,Finanzas,34047,2025-10-14,pablo.sánchez32@empresa.com,True
33,Laura,López,Marketing,42057,2016-11-06,laura.lópez33@empresa.com,True
34,Ana,López,RRHH,51306,2018-06-01,ana.lópez34@empresa.com,False
35,Juan,Díaz,Finanzas,47320,2017-11-23,juan.díaz35@empresa.com,True
36,María,Ruiz,Logística,55856,2019-03-07,maría.ruiz36@empresa.com,False
37,Ana,García,Finanzas,33600,2016-05-18,ana.garcía37@empresa.com,True
38,Juan,Díaz,Ventas,60620,2020-05-03,juan.díaz38@empresa.com,True
39,Ana,Pérez,RRHH,38590,2019-11-12,ana.pérez39@empresa.com,False
40,Luis,López,Ventas,42622,2022-02-09,luis.lópez40@empresa.com,False
41,Elena,Martínez,Producción,28763,2019-10-30,elena.martínez41@empresa.com,True
42,Luis,Gómez,Ventas,52721,2025-06-03,luis.gómez42@empresa.com,False
43,Jorge,Ruiz,IT,38209,2019-12-08,jorge.ruiz43@empresa.com,True
44,Juan,García,Finanzas,55757,2016-04-15,juan.garcía44@empresa.com,True
45,Juan,Ruiz,Finanzas,30546,2019-01-15,juan.ruiz45@empresa.com,True
46,Luis,García,Finanzas,54555,2020-01-23,luis.garcía46@empresa.com,False
47,Elena,Sánchez,RRHH,49157,2022-05-27,elena.sánchez47@empresa.com,True
48,Elena,Fernández,Finanzas,64673,2019-10-16,elena.fernández48@empresa.com,False
49,Pablo,Martínez,Logística,44543,2016-05-07,pablo.martínez49@empresa.com,True
50,Jorge,López,Logística,28561,2021-06-18,jorge.lópez50@empresa.com,True
51,Ana,Gómez,RRHH,36284,2022-01-05,ana.gómez51@empresa.com,True
52,Sara,García,Ventas,52800,2016-02-25,sara.garcía52@empresa.com,False
53,Elena,García,Marketing,39259,2019-08-23,elena.garcía53@empresa.com,True
54,Jorge,García,Marketing,45879,2022-07-18,jorge.garcía54@empresa.com,False
55,Luis,Ruiz,IT,25266,2018-10-10,luis.ruiz55@empresa.com,False
56,Juan,Morales,Ventas,18242,2021-12-05,juan.morales56@empresa.com,False
57,Carlos,Díaz,RRHH,59325,2018-12-07,carlos.díaz57@empresa.com,True
58,María,López,Marketing,43707,2019-10-11,maría.lópez58@empresa.com,False
59,Juan,Ruiz,IT,35996,2025-10-23,juan.ruiz59@empresa.com,False
60,Laura,López,Ventas,22970,2024-08-20,laura.lópez60@empresa.com,True
61,Laura,Ruiz,Marketing,19152,2023-08-02,laura.ruiz61@empresa.com,True
62,Laura,Ruiz,Finanzas,30385,2020-12-10,laura.ruiz62@empresa.com,False
63,Sara,Morales,Ventas,30753,2021-06-27,sara.morales63@empresa.com,False
64,Juan,Ruiz,IT,55580,2021-10-03,juan.ruiz64@empresa.com,False
65,Laura,Díaz,Ventas,31966,2021-03-27,laura.díaz65@empresa.com,True
66,María,Sánchez,IT,29297,2020-05-06,maría.sánchez66@empresa.com,False
67,Pablo,Fernández,Marketing,43233,2023-11-29,pablo.fernández67@empresa.com,True
68,María,Ruiz,Logística,64025,2023-04-20,maría.ruiz68@empresa.com,True
69,María,Pérez,IT,32720,2023-09-11,maría.pérez69@empresa.com,True
70,Carlos,Martínez,Logística,58172,2017-12-28,carlos.martínez70@empresa.com,False
71,Sara,Gómez,Producción,59362,2018-12-28,sara.gómez71@empresa.com,True
72,María,Morales,Logística,63656,2019-09-14,maría.morales72@empresa.com,False
73,Elena,Gómez,IT,36584,2018-11-18,elena.gómez73@empresa.com,False
74,Pablo,Morales,Marketing,33430,2018-08-15,pablo.morales74@empresa.com,False
75,Jorge,Fernández,Marketing,18323,2020-06-12,jorge.fernández75@empresa.com,True
76,Jorge,García,Marketing,36019,2022-11-16,jorge.garcía76@empresa.com,True
77,Jorge,Morales,Marketing,18376,2016-08-20,jorge.morales77@empresa.com,False
78,Laura,Gómez,Finanzas,18534,2015-12-27,laura.gómez78@empresa.com,True
79,Luis,Morales,Producción,61147,2024-07-01,luis.morales79@empresa.com,True
80,Elena,Ruiz,Marketing,32972,2016-01-17,elena.ruiz80@empresa.com,False
81,Pablo,Martínez,RRHH,18053,2018-10-25,pablo.martínez81@empresa.com,False
82,María,Martínez,RRHH,19478,2016-09-30,maría.martínez82@empresa.com,True
83,Juan,López,Producción,55661,2024-08-17,juan.lópez83@empresa.com,True
84,Elena,Morales,IT,53578,2021-07-07,elena.morales84@empresa.com,False
85,Sara,Sánchez,Marketing,48789,2023-09-08,sara.sánchez85@empresa.com,False
86,Jorge,Díaz,Logística,35336,2020-04-01,jorge.díaz86@empresa.com,False
87,Jorge,Sánchez,RRHH,49212,2023-04-19,jorge.sánchez87@empresa.com,False
88,Pablo,Pérez,RRHH,34115,2020-05-15,pablo.pérez88@empresa.com,False
89,Jorge,Morales,Logística,32162,2016-10-01,jorge.morales89@empresa.com,False
90,Sara,Gómez,Producción,42875,2018-05-08,sara.gómez90@empresa.com,False
91,Carlos,García,Ventas,39397,2019-09-21,carlos.garcía91@empresa.com,False
92,Elena,Gómez,Logística,57413,2020-01-20,elena.gómez92@empresa.com,False
93,Jorge,Fernández,RRHH,57245,2018-01-14,jorge.fernández93@empresa.com,True
94,María,López,Producción,35365,2025-05-14,maría.lópez94@empresa.com,True
95,Laura,García,Logística,37343,2017-10-04,laura.garcía95@empresa.com,False
96,Elena,Gómez,Marketing,29730,2023-04-01,elena.gómez96@empresa.com,False
97,Ana,Sánchez,RRHH,46320,2016-06-13,ana.sánchez97@empresa.com,True
98,Jorge,Díaz,IT,28805,2020-09-23,jorge.díaz98@empresa.com,False
99,Elena,Martínez,IT,64133,2024-02-16,elena.martínez99@empresa.com,True
100,Laura,Morales,Finanzas,51798,2017-04-08,laura.morales100@empresa.com,True
101,Sara,Sánchez,RRHH,39013,2019-11-23,sara.sánchez101@empresa.com,False
102,Juan,Fernández,Logística,51604,2017-02-09,juan.fernández102@empresa.com,True
103,Ana,Fernández,Marketing,53805,2019-12-21,ana.fernández103@empresa.com,False
104,María,Ruiz,RRHH,31711,2020-02-05,maría.ruiz104@empresa.com,True
105,Sara,Ruiz,IT,31288,2018-07-20,sara.ruiz105@empresa.com,True
106,Luis,Fernández,Ventas,58643,2017-11-27,luis.fernández106@empresa.com,True
107,Pablo,Martínez,Logística,38361,2020-03-21,pablo.martínez107@empresa.com,True
108,Pablo,Sánchez,RRHH,23809,2017-12-27,pablo.sánchez108@empresa.com,False
109,María,Gómez,Ventas,54148,2022-08-31,maría.gómez109@empresa.com,False
110,María,Gómez,IT,56845,2017-08-10,maría.gómez110@empresa.com,True
111,Elena,Morales,Producción,35200,2019-03-01,elena.morales111@empresa.com,True
112,Jorge,Martínez,Finanzas,64912,2024-11-13,jorge.martínez112@empresa.com,False
113,Juan,Ruiz,IT,32580,2019-05-11,juan.ruiz113@empresa.com,False
